Time,NumberHits
"2024-12-10 11:48:25",14
"2024-12-10 11:48:26",2
"2024-12-10 11:48:29",6
"2024-12-10 11:48:30",5
"2024-12-10 11:48:31",7
"2024-12-10 11:48:32",1
"2024-12-10 11:48:34",3
"2024-12-10 11:48:35",10
"2024-12-10 11:48:36",6
"2024-12-10 11:48:39",2
"2024-12-10 11:48:40",10
"2024-12-10 11:48:41",8
"2024-12-10 11:48:44",1
"2024-12-10 11:48:45",14
"2024-12-10 11:48:46",7
"2024-12-10 11:48:49",5
"2024-12-10 11:48:50",10
"2024-12-10 11:48:51",4
"2024-12-10 11:48:54",4
"2024-12-10 11:48:55",7
"2024-12-10 11:48:56",9
"2024-12-10 11:48:59",4
"2024-12-10 11:49:00",10
"2024-12-10 11:49:01",5
"2024-12-10 11:49:04",2
"2024-12-10 11:49:05",9
"2024-12-10 11:49:06",8
"2024-12-10 11:49:07",1
"2024-12-10 11:49:09",1
"2024-12-10 11:49:10",14
"2024-12-10 11:49:11",6
"2024-12-10 11:49:14",4
"2024-12-10 11:49:15",10
"2024-12-10 11:49:16",5
"2024-12-10 11:49:19",3
"2024-12-10 11:49:20",9
"2024-12-10 11:49:21",7
"2024-12-10 11:49:22",1
"2024-12-10 11:49:24",5
"2024-12-10 11:49:25",10
"2024-12-10 11:49:26",3
"2024-12-10 11:49:27",1
"2024-12-10 11:49:29",2
"2024-12-10 11:49:30",9
"2024-12-10 11:49:31",9
"2024-12-10 11:49:34",2
"2024-12-10 11:49:35",13
"2024-12-10 11:49:36",5
"2024-12-10 11:49:37",1
"2024-12-10 11:49:39",3
"2024-12-10 11:49:40",11
"2024-12-10 11:49:41",5
"2024-12-10 11:49:44",3
"2024-12-10 11:49:45",10
"2024-12-10 11:49:46",5
"2024-12-10 11:49:47",2
"2024-12-10 11:49:49",3
"2024-12-10 11:49:50",12
"2024-12-10 11:49:51",5
"2024-12-10 11:49:54",2
"2024-12-10 11:49:55",10
"2024-12-10 11:49:56",7
"2024-12-10 11:49:57",1
"2024-12-10 11:49:59",2
"2024-12-10 11:50:00",13
"2024-12-10 11:50:01",4
"2024-12-10 11:50:02",2
"2024-12-10 11:50:04",6
"2024-12-10 11:50:05",8
"2024-12-10 11:50:06",4
"2024-12-10 11:50:09",4
"2024-12-10 11:50:10",6
"2024-12-10 11:50:11",8
"2024-12-10 11:50:12",2
"2024-12-10 11:50:14",3
"2024-12-10 11:50:15",12
"2024-12-10 11:50:16",5
"2024-12-10 11:50:19",3
"2024-12-10 11:50:20",9
"2024-12-10 11:50:21",8
"2024-12-10 11:50:24",3
"2024-12-10 11:50:25",12
"2024-12-10 11:50:26",5
"2024-12-10 11:50:27",1
"2024-12-10 11:50:29",4
"2024-12-10 11:50:30",10
"2024-12-10 11:50:31",4
"2024-12-10 11:50:34",2
"2024-12-10 11:50:35",8
"2024-12-10 11:50:36",9
"2024-12-10 11:50:37",1
"2024-12-10 11:50:39",3
"2024-12-10 11:50:40",13
"2024-12-10 11:50:41",3
"2024-12-10 11:50:42",1
"2024-12-10 11:50:44",2
"2024-12-10 11:50:45",9
"2024-12-10 11:50:46",7
"2024-12-10 11:50:47",2
"2024-12-10 11:50:49",3
"2024-12-10 11:50:50",13
"2024-12-10 11:50:51",4
"2024-12-10 11:50:52",1
"2024-12-10 11:50:54",5
"2024-12-10 11:50:55",10
"2024-12-10 11:50:56",2
"2024-12-10 11:50:57",1
"2024-12-10 11:50:59",3
"2024-12-10 11:51:00",6
"2024-12-10 11:51:01",10
"2024-12-10 11:51:02",1
"2024-12-10 11:51:04",3
"2024-12-10 11:51:05",12
"2024-12-10 11:51:06",5
"2024-12-10 11:51:09",2
"2024-12-10 11:51:10",10
"2024-12-10 11:51:11",7
"2024-12-10 11:51:12",1
"2024-12-10 11:51:14",2
"2024-12-10 11:51:15",13
"2024-12-10 11:51:16",6
"2024-12-10 11:51:19",4
"2024-12-10 11:51:20",10
"2024-12-10 11:51:21",4
"2024-12-10 11:51:24",2
"2024-12-10 11:51:25",8
"2024-12-10 11:51:26",10
"2024-12-10 11:51:29",3
"2024-12-10 11:51:30",13
"2024-12-10 11:51:31",3
"2024-12-10 11:51:32",2
"2024-12-10 11:51:34",3
"2024-12-10 11:51:35",8
"2024-12-10 11:51:36",8
"2024-12-10 11:51:37",1
"2024-12-10 11:51:39",3
"2024-12-10 11:51:40",12
"2024-12-10 11:51:41",6
"2024-12-10 11:51:44",7
"2024-12-10 11:51:45",7
"2024-12-10 11:51:46",3
"2024-12-10 11:51:49",3
"2024-12-10 11:51:50",4
"2024-12-10 11:51:51",11
"2024-12-10 11:51:52",2
"2024-12-10 11:51:54",3
"2024-12-10 11:51:55",13
"2024-12-10 11:51:56",5
"2024-12-10 11:51:59",3
"2024-12-10 11:52:00",10
"2024-12-10 11:52:01",7
"2024-12-10 11:52:04",1
"2024-12-10 11:52:05",14
"2024-12-10 11:52:06",5
"2024-12-10 11:52:07",1
"2024-12-10 11:52:09",5
"2024-12-10 11:52:10",9
"2024-12-10 11:52:11",3
"2024-12-10 11:52:14",2
"2024-12-10 11:52:15",7
"2024-12-10 11:52:16",10
"2024-12-10 11:52:17",1
"2024-12-10 11:52:19",3
"2024-12-10 11:52:20",13
"2024-12-10 11:52:21",5
"2024-12-10 11:52:24",2
"2024-12-10 11:52:25",13
"2024-12-10 11:52:26",6
"2024-12-10 11:52:29",3
"2024-12-10 11:52:30",13
"2024-12-10 11:52:31",5
"2024-12-10 11:52:34",6
"2024-12-10 11:52:35",9
"2024-12-10 11:52:36",2
"2024-12-10 11:52:39",4
"2024-12-10 11:52:40",4
"2024-12-10 11:52:41",11
"2024-12-10 11:52:44",1
"2024-12-10 11:52:45",13
"2024-12-10 11:52:46",5
"2024-12-10 11:52:47",2
"2024-12-10 11:52:49",2
"2024-12-10 11:52:50",10
"2024-12-10 11:52:51",9
"2024-12-10 11:52:54",2
"2024-12-10 11:52:55",13
"2024-12-10 11:52:56",6
"2024-12-10 11:52:59",5
"2024-12-10 11:53:00",11
"2024-12-10 11:53:01",1
"2024-12-10 11:53:02",1
"2024-12-10 11:53:04",4
"2024-12-10 11:53:05",6
"2024-12-10 11:53:06",8
"2024-12-10 11:53:07",1
"2024-12-10 11:53:09",2
"2024-12-10 11:53:10",12
"2024-12-10 11:53:11",6
"2024-12-10 11:53:12",1
"2024-12-10 11:53:14",2
"2024-12-10 11:53:15",13
"2024-12-10 11:53:16",5
"2024-12-10 11:53:19",3
"2024-12-10 11:53:20",11
"2024-12-10 11:53:21",7
"2024-12-10 11:53:24",5
"2024-12-10 11:53:25",10
"2024-12-10 11:53:26",3
"2024-12-10 11:53:29",3
"2024-12-10 11:53:30",6
"2024-12-10 11:53:31",8
"2024-12-10 11:53:32",2
"2024-12-10 11:53:34",2
"2024-12-10 11:53:35",12
"2024-12-10 11:53:36",6
"2024-12-10 11:53:37",1
"2024-12-10 11:53:39",3
"2024-12-10 11:53:40",11
"2024-12-10 11:53:41",6
"2024-12-10 11:53:44",2
"2024-12-10 11:53:45",10
"2024-12-10 11:53:46",9
"2024-12-10 11:53:49",5
"2024-12-10 11:53:50",10
"2024-12-10 11:53:51",2
"2024-12-10 11:53:52",1
"2024-12-10 11:53:54",3
"2024-12-10 11:53:55",7
"2024-12-10 11:53:56",9
"2024-12-10 11:53:59",2
"2024-12-10 11:54:00",12
"2024-12-10 11:54:01",7
"2024-12-10 11:54:04",3
"2024-12-10 11:54:05",12
"2024-12-10 11:54:06",5
"2024-12-10 11:54:09",2
"2024-12-10 11:54:10",12
"2024-12-10 11:54:11",6
"2024-12-10 11:54:12",1
"2024-12-10 11:54:14",4
"2024-12-10 11:54:15",12
"2024-12-10 11:54:16",2
"2024-12-10 11:54:19",3
"2024-12-10 11:54:20",5
"2024-12-10 11:54:21",8
"2024-12-10 11:54:22",3
"2024-12-10 11:54:24",3
